path;kind;title;detail;tmdb;match_title;match_year;note
Paw Patrol/PAW.Patrol.S09/14.mp4;tv_show;Щенячий патруль;S09E14;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/15.mp4;tv_show;Щенячий патруль;S09E15;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/16.mp4;tv_show;Щенячий патруль;S09E16;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/17.mp4;tv_show;Щенячий патруль;S09E17;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/18.mp4;tv_show;Щенячий патруль;S09E18;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/19.mp4;tv_show;Щенячий патруль;S09E19;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/1.mp4;tv_show;Щенячий патруль;S09E01;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/20.mp4;tv_show;Щенячий патруль;S09E20;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/21.mp4;tv_show;Щенячий патруль;S09E21;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/22.mp4;tv_show;Щенячий патруль;S09E22;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/23.mp4;tv_show;Щенячий патруль;S09E23;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/24.mp4;tv_show;Щенячий патруль;S09E24;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/25.mp4;tv_show;Щенячий патруль;S09E25;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/26.mp4;tv_show;Щенячий патруль;S09E26;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/2.mp4;tv_show;Щенячий патруль;S09E02;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S09/3.mp4;tv_show;Щенячий патруль;S09E03;57532;Щенячий патруль;2013;
